Valores Confirmados;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
Fecha;CAPITAL;;CUPRUM;;HABITAT;;MODELO;;PLANVITAL;;PROVIDA;;UNO;
17-04-19;43.566,86;3,95633E+12;45.789,25;5,124E+12;46.574,85;5,88501E+12;45.073,70;1,18254E+12;42.386,17;4,28105E+11;45.236,15;3,96093E+12;;
18-04-19;43.418,11;3,94314E+12;45.626,51;5,10565E+12;46.418,05;5,86457E+12;44.918,96;1,17874E+12;42.236,83;4,26631E+11;45.074,12;3,94749E+12;;
19-04-19;43.418,11;3,94314E+12;45.626,51;5,10565E+12;46.418,05;5,86457E+12;44.918,96;1,17874E+12;42.236,83;4,26631E+11;45.074,12;3,94749E+12;;
20-04-19;43.418,11;3,94314E+12;45.626,51;5,10565E+12;46.418,05;5,86457E+12;44.918,96;1,17874E+12;42.236,83;4,26631E+11;45.074,12;3,94749E+12;;
21-04-19;43.418,11;3,94314E+12;45.626,51;5,10565E+12;46.418,05;5,86457E+12;44.918,96;1,17874E+12;42.236,83;4,26631E+11;45.074,12;3,94749E+12;;
22-04-19;43.468,55;3,94842E+12;45.679,67;5,11088E+12;46.466,31;5,87086E+12;44.961,62;1,17982E+12;42.281,80;4,27017E+11;45.124,79;3,9523E+12;;
23-04-19;43.485,06;3,89836E+12;45.702,33;5,04249E+12;46.494,30;5,71752E+12;44.992,85;1,12157E+12;42.311,13;4,22518E+11;45.153,54;3,93124E+12;;
24-04-19;43.660,54;3,88891E+12;45.902,75;5,02288E+12;46.672,84;5,66935E+12;45.181,71;1,0889E+12;42.480,72;4,21979E+11;45.335,67;3,93471E+12;;
25-04-19;43.705,81;3,88619E+12;45.966,39;5,02571E+12;46.738,76;5,66398E+12;45.266,38;1,08649E+12;42.541,75;4,21953E+11;45.399,46;3,93816E+12;;
26-04-19;43.768,35;3,88476E+12;46.023,58;5,02218E+12;46.788,82;5,6519E+12;45.308,16;1,08156E+12;42.584,08;4,21702E+11;45.458,95;3,93961E+12;;
27-04-19;43.768,35;3,88476E+12;46.023,58;5,02218E+12;46.788,82;5,6519E+12;45.308,16;1,08156E+12;42.584,08;4,21702E+11;45.458,95;3,93961E+12;;
28-04-19;43.768,35;3,88476E+12;46.023,58;5,02218E+12;46.788,82;5,6519E+12;45.308,16;1,08156E+12;42.584,08;4,21702E+11;45.458,95;3,93961E+12;;
29-04-19;43.782,28;3,93923E+12;46.038,00;5,07593E+12;46.808,73;5,78072E+12;45.323,61;1,132E+12;42.598,13;4,25673E+11;45.476,29;3,95716E+12;;
30-04-19;44.015,37;3,97345E+12;46.285,02;5,13096E+12;47.064,28;5,88572E+12;45.546,54;1,17353E+12;42.820,53;4,29652E+11;45.724,68;3,98086E+12;;
01-05-19;44.015,37;3,97345E+12;46.285,02;5,13096E+12;47.064,28;5,88572E+12;45.546,54;1,17353E+12;42.820,53;4,29652E+11;45.724,68;3,98086E+12;;
02-05-19;44.046,11;3,97879E+12;46.323,29;5,14273E+12;47.090,95;5,91648E+12;45.572,28;1,18385E+12;42.856,67;4,30963E+11;45.762,96;3,97898E+12;;
03-05-19;44.182,45;3,99812E+12;46.452,79;5,17067E+12;47.234,23;5,95588E+12;45.697,90;1,19691E+12;42.988,30;4,32782E+11;45.898,01;3,99386E+12;;
04-05-19;44.182,45;3,99812E+12;46.452,79;5,17067E+12;47.234,23;5,95588E+12;45.697,90;1,19691E+12;42.988,30;4,32782E+11;45.898,01;3,99386E+12;;
05-05-19;44.182,45;3,99812E+12;46.452,79;5,17067E+12;47.234,23;5,95588E+12;45.697,90;1,19691E+12;42.988,30;4,32782E+11;45.898,01;3,99386E+12;;
06-05-19;44.140,83;3,99956E+12;46.418,23;5,17017E+12;47.205,46;5,95783E+12;45.666,40;1,19835E+12;42.960,11;4,32665E+11;45.858,47;3,99121E+12;;
07-05-19;43.901,99;3,98032E+12;46.174,56;5,14411E+12;46.939,03;5,92524E+12;45.406,62;1,19235E+12;42.719,38;4,30396E+11;45.600,51;3,96888E+12;;
08-05-19;43.617,11;3,90507E+12;45.866,61;5,04677E+12;46.631,86;5,75168E+12;45.083,79;1,12507E+12;42.434,82;4,2304E+11;45.306,38;3,92426E+12;;
09-05-19;43.540,59;3,87648E+12;45.781,81;5,00678E+12;46.546,22;5,68187E+12;45.017,61;1,0994E+12;42.356,01;4,20425E+11;45.235,21;3,90964E+12;;
10-05-19;43.451,93;3,83772E+12;45.691,78;4,96968E+12;46.478,44;5,62366E+12;44.961,41;1,08442E+12;42.292,77;4,19013E+11;45.165,68;3,89714E+12;;
11-05-19;43.451,93;3,83772E+12;45.691,78;4,96968E+12;46.478,44;5,62366E+12;44.961,41;1,08442E+12;42.292,77;4,19013E+11;45.165,68;3,89714E+12;;
12-05-19;43.451,93;3,83772E+12;45.691,78;4,96968E+12;46.478,44;5,62366E+12;44.961,41;1,08442E+12;42.292,77;4,19013E+11;45.165,68;3,89714E+12;;
13-05-19;43.346,81;3,81162E+12;45.579,90;4,94111E+12;46.354,92;5,58105E+12;44.818,00;1,07382E+12;42.175,01;4,17207E+11;45.047,95;3,88333E+12;;
14-05-19;43.052,83;3,78282E+12;45.305,22;4,91275E+12;46.066,07;5,54119E+12;44.538,84;1,06762E+12;41.905,81;4,14861E+11;44.767,18;3,86153E+12;;
15-05-19;43.148,15;3,79919E+12;45.400,55;4,90965E+12;46.154,61;5,56332E+12;44.642,51;1,07011E+12;41.985,51;4,21988E+11;44.853,39;3,8566E+12;;
16-05-19;43.249,73;3,8029E+12;45.509,77;4,91633E+12;46.259,22;5,56697E+12;44.738,35;1,0715E+12;42.078,71;4,2286E+11;44.962,55;3,8639E+12;;
17-05-19;43.268,71;3,77533E+12;45.546,72;4,90948E+12;46.298,26;5,55313E+12;44.776,43;1,0688E+12;42.100,49;4,22798E+11;44.990,63;3,8613E+12;;
18-05-19;43.268,71;3,77533E+12;45.546,72;4,90948E+12;46.298,26;5,55313E+12;44.776,43;1,0688E+12;42.100,49;4,22798E+11;44.990,63;3,8613E+12;;
19-05-19;43.268,71;3,77533E+12;45.546,72;4,90948E+12;46.298,26;5,55313E+12;44.776,43;1,0688E+12;42.100,49;4,22798E+11;44.990,63;3,8613E+12;;
20-05-19;43.182,55;3,75473E+12;45.460,24;4,89435E+12;46.195,47;5,52873E+12;44.684,16;1,06439E+12;42.017,28;4,21503E+11;44.901,91;3,85057E+12;;
21-05-19;43.182,55;3,75473E+12;45.460,24;4,89435E+12;46.195,47;5,52873E+12;44.684,16;1,06439E+12;42.017,28;4,21503E+11;44.901,91;3,85057E+12;;
22-05-19;43.298,75;3,75635E+12;45.579,53;4,90249E+12;46.331,61;5,53805E+12;44.809,02;1,06516E+12;42.127,23;4,22447E+11;45.034,05;3,85944E+12;;
23-05-19;43.279,30;3,74758E+12;45.560,53;4,89423E+12;46.311,06;5,52804E+12;44.789,96;1,06329E+12;42.104,43;4,21976E+11;45.021,25;3,85506E+12;;
24-05-19;43.015,36;3,72077E+12;45.280,54;4,85961E+12;46.024,49;5,49033E+12;44.496,07;1,05558E+12;41.845,66;4,19292E+11;44.742,52;3,82959E+12;;
25-05-19;43.015,36;3,72077E+12;45.280,54;4,85961E+12;46.024,49;5,49033E+12;44.496,07;1,05558E+12;41.845,66;4,19292E+11;44.742,52;3,82959E+12;;
26-05-19;43.015,36;3,72077E+12;45.280,54;4,85961E+12;46.024,49;5,49033E+12;44.496,07;1,05558E+12;41.845,66;4,19292E+11;44.742,52;3,82959E+12;;
27-05-19;42.991,21;3,7136E+12;45.257,77;4,85342E+12;46.005,84;5,48414E+12;44.469,03;1,05351E+12;41.822,67;4,18532E+11;44.722,10;3,82613E+12;;
28-05-19;43.071,42;3,71705E+12;45.340,90;4,85919E+12;46.095,22;5,49123E+12;44.559,65;1,0546E+12;41.898,48;4,19033E+11;44.813,44;3,83245E+12;;
